"Data Source","World Development Indicators",

"Last Updated Date","2023-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","370949.720670391","","","","","","","",
"Africa Eastern and Southern","AFE","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","51151074677.3056","53527513835.3138","52250830980.9129","51029330328.9885","49576465760.529","53648917953.7228","57218415106.179","56431764681.6535","62898746120.6483","60062330937.4932","60888509008.9838","60884405259.092","64517072523.1617","63863525099.6114","66426424412.3754","74117705694.3968","78023919801.5466","78934090082.4479","81726909059.1495","80891906347.6987","85142503211.1545","85669795708.1857","87977311781.072","88603594728.9587","92899871328.9949","97962935529.8161","99263069897.1016","102826699289.498","105239987817.481","109295956326.048","112146768202.435","112220074544.262","116269152348.331","122196973659.357","126157800906.149","129154435373.089","133921079269.276","136346091191.535","138321286429.078","142934591895.934","148606190867.79","152524818785.181",
"Afghanistan","AFG","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3251434276.68207","3342419497.68181","2599187196.78479","3059194029.44756","2902892122.59607","3329630219.8357","2832971596.47401","4095427451.83796","3834338443.64192","3543223064.04037","4188968006.44079","4189188657.87529","4184969929.8351","3948217064.09131","4183994789.97761","4452233165.43478","4255653207.82667","4998682802.40605","5295721549.9424","4777766409.33007","",
"Africa Western and Central","AFW","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","30628383855.2559","31235820784.7054","30665528028.0133","30242777829.8678","34785651755.6065","37365431933.4665","36841248770.4464","39305988730.8742","41048673431.0818","42289435560.0679","44109384560.7891","44171007519.496","45792414662.106","46911762973.0221","48715183207.8742","50609067856.0111","52115611533.4632","54776667093.1037","57778868417.687","58461850430.4212","60368303195.7431","81322546832.4324","86977924696.4807","91026811952.1816","97776844217.7911","103510918544.937","109266296877.002","116620868575.03","122125409047.189","129341501385.694","131672387919.527","139940019963.191","143666201166.49","150556283524.195","155819596766.513","162421513844.078","170324200820.604","175891752998.018","180997473160.467","186170836390.603","191122193131.321","197417649964.09",
"Angola","AGO","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2882792622.69339","3114074531.94962","3396617509.08452","3551134196.32143","4130079423.46451","4360427284.06772","4567677162.77585","4829405059.13555","5249279979.23883","5736948416.93015","6148717750.44406","6395705157.87969","7494127677.28028","8255567077.25383","8573631065.14105","8612878989.0021","8399055706.2657","8252302599.6548","8486974023.42137","9947145176.39801","10339045712.1615",
"Albania","ALB","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1380032754.09225","1143877719.34285","1215184695.51345","1280747914.03214","1366499452.70081","1403300217.36584","1432036328.4687","1474189500.74205","1567180568.10204","1577814919.03978","1627019148.20949","1671214288.89553","1789393900.19326","1823479654.19874","1962976317.53282","2056667651.77426","2167577200.03619","2192179806.27126","2235186832.54379","2252343961.11954","2298461165.77016","2317701964.39756","2344979797.75048","2359680255.58708","2391513177.47348","2434574004.83062","2435933519.53262",
"Andorra","AND","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11589577.9188556","10711920.5618937","9778003.11794709","11533317.8318709","12343463.084451","11938390.458161","11623333.9710464","12320959.0496572","12838551.8499167","12512243.3454053","13659949.1198939","14368826.2159015","16731749.8692605","15719068.3035352","14796402.8769855","14323818.1463138","15100207.3467031","16247913.1211917","16124140.9298253","15730320.3209321","14953931.1205428","15415263.8338176","15640304.1817566",
"Arab World","ARB","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","40566278170.7477","41141614452.3493","44113734916.3754","45914670257.4434","46914268515.9557","45676042954.0894","49114584457.5007","48851833047.3536","53989932296.6165","57281863311.9429","55578518800.8388","53385991610.3967","54470581850.8715","56883343976.7403","62585550431.3581","61290429396.0519","62965577902.1405","65248000103.8108","71167518211.9218","73597694398.995","75299742795.6025","84075466305.1868","81681065872.0688","83302406372.6867","89074792010.3616","89407136015.2883","93577075167.9301","92225288351.3842","100880635478.098","103480725124.251","110774356066.719","111713472875.254","108597914328.76","113874794778.843","117878688123.58","121654866001.121","122718616349.526","127080572982.251","134911523307.023","127891990254.829","129754015845.96","137290031492.299","140985803196.317","147762884953.171","147921902233.668","155405816032.835","154843904266.58","154369955793.833","155903751464.61","160541913068.04","166061859550.331","172746593460.573","174130387322.388","175741023454.904","177405928337.729",
"United Arab Emirates","ARE","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3687145485.01884","3805513154.49405","3686910333.64066","3614247042.43759","3469186130.47625","3169381700.798","3110990785.96083","2772150591.05966","2760767585.35255","2462331785.79252","2594286215.86111","2693419587.18792","2673356082.82207","2668914794.01998","2679578389.16724","2787169211.74763","2909068485.49227","3051732569.33353","3355701225.20928","3252445189.9528","4138038284.67542","4232772239.80799",
"Argentina","ARG","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","12080720588.7014","12191559154.1438","12501897648.7959","11969896100.2228","12501897648.7959","11340359480.806","11518813202.5822","11740460692.6889","12998419990.7268","13353068426.1714","12986231181.1836","13599135073.7277","13931621872.4239","14319534274.2073","14729623080.0066","13844883569.7739","14328638159.418","15400165409.057","15712405690.5718","15768704844.1668","15501406601.7872","15529112668.282","15105479664.4285","16293702874.3116","14954732770.0941","16222970486.2149","16887000661.6969","16918748006.0843","17329141370.9216","18590284978.6484","19622510242.351","19447851983.0942","19566272807.7905","21189505886.1225","21692618811.4535","21309553902.6016","21627306249.139","21054073055.8567","22479521815.6923","22565691391.0902","26805441680.7326","26664565464.8078","28941074853.8233","28308474664.4282","20919550469.5432","29187788956.6123","28478968407.4165","24812257625.5612","27659866051.802","28518498326.4708","30669352553.9863","29222696567.4324","30229437336.7126","25821525206.243","31356470760.2685","29000518278.3883","29550467660.5459","28223480496.3241",
