Data Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country.Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.62789186,37.41885544,29.72106714,31.11485491,28.63596858,30.10501136,24.89227001,29.29750105,26.21006854,23.74366399,24.39087363,22.81066274,22.13704137,20.63432272,25.74031404,26.42019908,22.04289675,25.77397074,29.97558252,33.59761887,33.70143232
Albania,ALB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.41086377,31.54344388,28.78565044,25.91874552,24.51541204,22.7161642,22.02511409,21.97825708,20.53748631,18.84530872,17.70835362,17.15361957,16.83705384,16.7943836,17.9558664,18.2267896,18.76680189,19.56515781,19.99018136,19.78021442,19.84999447,19.02212664,18.4294953,18.38933234,19.22522271,18.35812525,18.62282145
Algeria,DZA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10697987,8.395048495,8.886179657,8.413026448,8.456719507,7.722174034,6.55927137,6.366002714,6.326018784,5.54975092,8.011217415,7.531715615,7.083525122,8.026971674,9.120074642,9.407074409,10.5327897,11.06831305,11.03188093,11.24383014,11.47917989,12.83416939,11.23340263,10.61686365
American Samoa,ASM,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.517055748,0.441953155,0.385887246,0.419117893,0.414741998,0.380576808,0.353522338,0.368796684,0.406917964,0.418928933,0.466508602,0.490560827,0.601164454,0.585558984,0.537623493,0.51342011,0.521999648,0.559538513,0.546367883,0.522633248,0.55944277,0.53361793,0.489050868
Angola,AGO,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.653213722,7.026869166,9.002017942,12.91118241,6.290256828,5.664689564,8.156377022,5.839549975,6.198384502,6.250877905,5.060402948,5.191280189,5.242278337,4.805339338,6.621196764,6.180293498,5.84568088,6.069629991,6.50749232,7.547056779,9.122534372,9.83116886,10.01699597,8.607741802,7.882625069,9.946543571,11.48634538,13.7377885
Antigua and Barbuda,ATG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,4.970368954,4.459590223,3.51155874,2.9894572,2.861251612,2.594859241,2.550642169,1.921734274,1.995098703,1.740212859,1.76193578,1.616983731,1.543656929,1.599263426,1.582661957,1.584166796,1.517800433,1.353369202,1.396070321,1.360165794,1.427231373,1.367498921,1.353789413,1.289744149,1.290259951,1.361890974,1.360823292,1.241207064,1.329002633,1.232817552,1.179368032,1.130937661,1.112090613,1.214735443,1.637467807,1.812909726,1.484079192,1.441104103,1.445411315,1.458665347,1.66492909,1.626791912,1.647758375,2.280298754,2.082017906,1.954438733
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,12.90416299,10.27875747,9.980386317,9.721276985,9.185809648,9.637560964,10.86588238,10.98486987,11.95252249,10.23083775,6.583910492,8.152170712,8.087142114,7.504427478,7.796277359,6.353505005,6.475522961,9.596156046,8.658324961,8.345976837,7.634307257,7.80040264,8.094358464,8.977868218,9.616065096,8.123676208,6.71649176,5.990787091,5.136826482,5.082668,5.351464616,5.610866113,5.221972109,5.25272257,4.457826102,4.679910944,4.568589609,10.20664671,10.32816694,8.36248661,7.938754274,6.935572291,7.452353946,7.318954597,5.273623469,7.132167451,6.99873377,5.781744207,6.052918437,6.712703514,5.156685902,6.26456582,5.231622377,4.537878897,5.318555997,6.357033676,7.306308855,6.639898278
Armenia,ARM,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.91268195,18.43476288,18.07203635,17.22312003,16.39047353,14.99426012,13.94231166,11.52561074,11.34980516,11.34354842,10.3731364
Aruba,ABW,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.505922166,0.48582996,0.429978118,0.407916806,0.383268482,0.018607536,0.018617487,0.018053934,0.018010582,0.017566258,0.017327777,0.017507704,0.017838596,0.016997399,0.019906853,0.020492088,0.020394903,0.021468749,0.01781746,0.014812973,0.012519788,0.018611768,0.02391857,0.02225303,0.027572683,,,
