"Data Source","World Development Indicators",

"Last Updated Date","2023-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Gross fixed capital formation (constant 2015 US$)","NE.GDI.FTOT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Gross fixed capital formation (constant 2015 US$)","NE.GDI.FTOT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88482012619.9046","91338996351.1572","96175558110.6565","132692370666.454","173595873440.749","200271453283.933","193852117570.463","219999686723.784","226933849377.056","250146040042.246","271172945752.241","298291924134.171","326426900189.351","368513791785.796","399237773112.626","428285378304.736","347083377261.974","321115946966.018","323152486996.513","237674069206.408","219880546060.277","210274682993.955","203388457816.409","202877749983.902","213852358557.816","218118308813.692","222350197389.934","211620312893.268","227650173847.415","245734413677.902",
"Afghanistan","AFG","Gross fixed capital formation (constant 2015 US$)","NE.GDI.FTOT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Gross fixed capital formation (constant 2015 US$)","NE.GDI.FTOT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Gross fixed capital formation (constant 2015 US$)","NE.GDI.FTOT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12069204655.3458","13477720038.7631","16050885105.681","18332133966.9749","17847069163.4359","20771138521.9605","25480649383.7375","27828391542.6235","25360821217.5612","27966458796.3336","30021786685.3407","30519024980.0186","31528862790.1705","25528682879.1927","23988457710.2263","26092966700.5717","24720129352.4425","24208647375.8551","23726818390.0282","25009743133.0919","27129881937.5528",
"Albania","ALB","Gross fixed capital formation (constant 2015 US$)","NE.GDI.FTOT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","926558465.101774","735514192.9002","829729990.09378","1138970129.67632","1624459920.25156","1993417690.95429","2096500550.07695","2261813812.31825","2528663339.01515","2707146846.97048","2912069945.27323","3047088408.69446","3181668189.0481","3212732740.53076","2940642734.94327","3115414120.4753","2870596973.26084","2813877875.07614","2685912582.52471","2779928277.70372","2847412458.90443","3019235011.15857","3090076001.57428","2979944223.01742","2938790670.24797","3503444355.2793","3732227208.55932",
"Andorra","AND","Gross fixed capital formation (constant 2015 US$)","NE.GDI.FTOT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross fixed capital formation (constant 2015 US$)","NE.GDI.FTOT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","379739241193.742","388677329293.195","422171951302.725","455355969840.126","499817037122.624","556205679858.263","629130065770.129","726604777555.262","794398674843.617","697941965457.322","696413093261.616","708093786307.939","606892941520.181","604672433218.514","614816861962.079","642294044066.939","622072701029.706","617578426906.041","642220422311.252","665367504509.624","580660083553.553","611872555502.975","695303262171.538",
"United Arab Emirates","ARE","Gross fixed capital formation (constant 2015 US$)","NE.GDI.FTOT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34732940032.7826","36748912204.7318","39523927674.1074","40554795158.3771","46669807548.3635","53616808459.722","76827498883.4525","77110677778.9226","84093119040.2491","76166459950.72","75944071497.4218","76746598568.0491","72382101334.884","80261143469.867","83725068454.7311","91124597241.4354","75387906025.5998","78104944286.8825","78122010037.8738","82687877675.5899","","",
"Argentina","ARG","Gross fixed capital formation (constant 2015 US$)","NE.GDI.FTOT.KD","24147333336.9472","27568193217.4366","25354592011.5216","21933732074.5324","24147333336.9472","25354592011.5216","25354592011.5216","26562075937.209","29982954766.1719","36824609328.9495","37452455337.1109","40507091721.6707","40949709271.0881","37971548956.7777","39500974442.1","39581458738.6381","43726705037.9379","52842300875.9203","46081027514.5325","49200216423.8969","53297557753.6095","45315748531.0127","36278481288.307","36423417088.5715","34917531481.4501","29992514289.4887","33303920798.3327","37612089349.8137","36288244984.3501","28449417959.4127","23655665665.8053","30738569003.2844","40772703492.6653","46327225414.1258","52661207597.975","45770986408.9843","49836963889.7747","58639598832.0611","62476955246.5045","54598702029.7055","50883664312.6158","42914748082.9166","27273361805.6602","37682562546.6549","50654861461.2803","58672701569.6979","67164293724.504","80901540191.8901","87936280775.266","68086553749.1582","85962395051.7292","100900907666.981","93761965457.9418","95955516955.605","89473196447.266","92571210122.056","87222011290.2295","98892817130.2083","93210783977.9137","78342216931.0375","68106055855.5898","91128325708.1957","101205396011.761",
"Armenia","ARM","Gross fixed capital formation (constant 2015 US$)","NE.GDI.FTOT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","609626848.125193","515494782.358301","559801771.739398","577176878.352066","646177929.562726","646421374.676473","753843040.44059","797254277.160752","1062153645.40776","1356200870.38622","1614926723.1179","2085724379.67407","2789414629.35767","3296198450.25682","3688488216.25215","2753397254.22152","2673550416.11444","2374113069.19442","2333329789.83416","2169996704.54576","2122256777.04576","2175313196.36182","1927327492.15965","2114278258.91652","2215763615.13316","2313257214.37886","2278558356.03108","2816298128.05441","3069764959.5793",
"American Samoa","ASM","Gross fixed capital formation (constant 2015 US$)","NE.GDI.FTOT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Gross fixed capital formation (constant 2015 US$)","NE.GDI.FTOT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Gross fixed capital formation (constant 2015 US$)","NE.GDI.FTOT.KD","32959975120.8718","34829988885.1549","35448801235.124","37664663934.0318","41192465979.9873","44275094707.2006","47876496836.3511","50316732604.4163","54027463012.4874","57480950411.3335","59365970017.8214","61278143053.0608","62998098395.2959","64925277272.7401","67695641569.3108","63356809480.3819","65532656600.077","68082220647.0629","70692522626.7824","77603070244.0471","79833224221.2453","90042198867.9065","96571169354.8207","87426180376.8708","91867909669.4897","100696346833.31","106667957466.903","107080260845.578","115100526222.083","127441759589.654","128597209439.423","116406034493.9","111752794282.585","119167824023.496","126071226001.616","139970923266.742","143801700412.451","153347559746.443","168276943612.384","175749138466.456","189973962312.686","174882372438.151","190840728340.992","214824351567.739","233589514526.79","247826485959.567","268330182922.631","280457047115.848","305032329263.813","309680567527.726","315094818307.998","326439235014.822","364317553559.294","374852369350.973","367771755522.054","354195041146.289","341292160541.91","341156393398.152","357669965462.57","353186791462.91","344972879265.571","358504576114.723","383800138688.517",
