Country Name,Country Code,Series,Series Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,AFG,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,31.44885,,,,,,,43.01972,,,,,
Albania,ALB,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,98.71298,,,,,,,95.93864,,,96.8453,97.24697,,,,,,98.14115,,,,,
Algeria,DZA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,69.8735,,,,72.64868,,75.13605,,,,,,,,,,81.40784,,,,,
American Samoa,ASM,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,67.40542,,,,,,,,,,,,,66.03011,,,,,,,,,
Anguilla,AIA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,98.95,,,,,,,,,,98.95,,,,98.95,,,,,,,,
Arab World,ARB,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,62.75603,63.68453,64.87778,66.04557,68.68774,69.63666,69.2184,68.13701,68.62272,69.62151,68.30745,69.24863,71.06061,74.43569,74.04358,75.71389,73.49939,74.8408,75.76682,72.86909,73.11425,,,,
Argentina,ARG,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,97.19331,,,,,98.6108,,,98.98342,98.95497,99.10833,99.10523,99.12195,98.99389,99.17996,99.12501,,99.00387,,,,,
Armenia,ARM,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,99.40016,,,,,,,,,,99.74441,,,,,,99.73607,,,,,,
Aruba,ABW,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,97.29125,,,,,,,,,,96.82264,,,,,,,,97.80742,,,,,
Australia,AUS,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
