"Data Source","World Development Indicators",

"Last Updated Date","2023-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2121109009.45572","2290010199.43851","2424716704.93888","2601907563.8037","2815365492.0764","2887076896.47512","2921311522.62726","3127172693.76574","3189465487.52087","3228952404.79481","3475092884.0895","3620421360.2922","3586210019.18154","3626035061.10499","3890508229.71894","3875602151.89984","3919296160.5905","4040384536.10147","4114556124.66592","3634068874.78314","3534733211.71489","3653826790.59824","3615797756.41351","3848347131.89335","3787290232.10021","3763671719.42193","3828392725.94238","4098238260.51634","4195847235.78522","4099223719.72103","3116124097.59735","3977400760.52464","4393369954.47804",
"Africa Eastern and Southern","AFE","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","943758891625.762","944032616179.706","925626116883.012","921237068472.462","937558879046.227","979607789670.098","1033017808258.12","1077576577661.74","1097584149491.18","1127878331148.55","1166470905328.87","1209530177920.33","1257199736469.47","1298802826179.51","1373217587003.64","1460131484343.57","1558532366326.19","1664374082160.95","1740639930028.2","1752435624670.12","1843885242572.17","1918586719447.93","1963286768627.5","2045931766998.92","2131944977767.57","2201071069729.57","2258907246750.63","2322794955414","2386396105578.05","2440860578573.83","2375618772277.7","2482333598227.8","2570777892144.76",
"Afghanistan","AFG","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26890054382.3851","29265058689.4061","29678901146.3632","33011757107.8906","34780330056.488","39589169629.9389","41143038133.026","49943751386.6576","57116893447.1232","57360414055.1095","64675178730.6936","68297470348.5577","70158264544.6843","71176481723.2914","72785293847.6719","74711922906.3738","75600418108.8303","78557606648.6733","76710638229.7132","60801742189.3659","",
"Africa Western and Central","AFW","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","576856488508.516","584051586638.554","598471203580.759","592224539130.011","591816502024.461","604608736932.84","633113086455.884","660654610329.475","684282013463.179","695712029690.481","720783135120.529","758325266966.997","829155400249.883","874408618974.601","942992370667.837","997472002159.595","1050989470757.05","1107738965665.77","1176860670506.04","1247705965756.93","1332458698307.18","1397578842793.61","1470795538714.44","1559587996400.33","1650501959765.67","1697089498494.56","1704445092576.8","1748083112870.44","1800829427544.83","1861213509963.73","1846504124851.71","1920812757611.14","1993922260161.04",
"Angola","AGO","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68524299596.3331","69203621614.5424","65163319907.1914","49534928874.7461","50198381600.3808","57728138854.9269","65547051434.1772","70315125753.2641","73613711279.5091","75219586822.4077","77517262550.4312","80777637494.1042","91816458022.4212","94561770117.2916","104916283950.758","120685201418.644","134624342179.938","153485212530.932","170629510761.758","172096924557.982","179666394277.964","185904506976.356","201784669021.091","211782318527.228","221995646360.782","224090334147.222","218308554288.735","217987313632.158","215117812148.692","213607097926.956","201563471094.763","203980641447.534","210192674041.075",
"Albania","ALB","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15864306644.6165","11421961025.2631","10601052017.7093","11614450223.0159","12578782531.0075","14254569867.5981","15551735645.2198","13853488588.8875","15076671801.7217","17020175959.2459","18202434245.79","19712019024.2838","20606259529.8146","21745504914.2981","22944697295.8873","24212718610.6376","25641912833.5501","27176135023.9032","29214356409.8235","30194290455.5126","31313574128.3007","32110631768.2254","32565717384.9654","32892031585.4212","33475683862.4868","34218417689.615","35352751626.3419","36697074907.2373","38172057179.0724","38968979796.1092","37682192113.6263","41039120680.6184","43032145215.4303",
"Andorra","AND","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2197215679032.35","2254743181180.7","2362867109446.96","2424624324510.65","2495313678619.57","2563194802086.39","2682376233342.03","2799990014523.65","2944840142039.9","3003787829765.82","3196285729758.26","3252810808570.23","3272818442833.02","3434236436706.24","3724114073454.64","3926737634113.78","4155064055478","4343496392164.94","4585409681426.84","4607824017638.19","4818401600665.34","4982865413472.16","5250108112383.29","5389568624809.77","5525914319249.05","5757185686772.05","5978347593728.44","6079633947693.3","6244335001184.92","6344564040482","6055242730322.02","6291212833932.82","6675802533305.64",
"United Arab Emirates","ARE","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","208436229054.923","210228951429.486","217260993938.429","220001069935.114","235172670530.587","250900751729.158","265448991107.308","287190321666.899","288028901176.138","296388115246.596","328554240715.605","333150993913.959","341258079464.146","371290636031.41","406809919467.069","426561115457.787","468523296414.714","483442906227.108","498873612282.316","472718058377.344","480295020004.425","510150743511.459","519458345820.246","545719872372.22","568452880578.868","607032486510.459","640792542127.391","645502807620.868","653984158615.097","661232579866.011","628454934154.65","655822608702.916","707307425643.916",
"Argentina","ARG","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","461383067195.929","503521692862.146","543487677674.491","588091597641.289","622413803601.144","604704826243.565","638124986359.867","689883602459.331","716445355021.616","692190405307.751","686729030353.619","656452248351.554","584935157747.954","636626116266.938","694110738086.543","755551060091.098","816351398559.736","889885482455.565","925990210832.673","871185248000","959396223037.209","1016997908810.97","1006559234253.78","1030770242883.07","1004870951838","1032315583600.75","1010840035079.44","1039330591568.54","1012127189427.81","991875931195.231","893675405257.034","989459623967.601","1038500903537.08",
