"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43998744132.0697","49355079023.8685","49859785695.493","50242847714.9647","50052710679.2235","44939387859.1778","50493638476.8495","45754349149.4855","44524344295.3844","61513514493.9772","79835052668.6696","95879933967.315","112155799020.398","139267297285.176","163902342929.957","168224989117.848","182799587741.077","208555553782.332","209922217294.882","215963410580.579","225463517558.132","203388457816.409","183258064582.101","211811092169.513","206018006412.32","212304376066.036","190690969109.532","217149644630.26","231171513851.432",
"Afghanistan","AFG","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2286077063.63417","1852748004.561","",
"Africa Western and Central","AFW","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","","","4635608590.82868","5285880624.19285","7208752430.8692","10275043820.3116","11496406176.2016","16418320030.8296","25870974601.5343","30086198889.84","23662041839.7778","29504001447.8135","34165589758.8929","34617924534.5112","37362059234.5266","25528682879.1927","13830515985.5165","17127299187.1421","13661306392.9738","12557628115.9305","12848257817.8336","17582201885.7628","27413614187.6469",
"Albania","ALB","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","712237773.892774","634615407.925408","673124987.5","698499962.5","670374975","731750012.5","615888125","83600694.4444444","36891479.0257555","162105372.688304","355435476.998047","509144791.391354","697344164.820387","454308793.456033","547094469.436359","756233236.784938","1110462752.06933","1440560838.08993","1567718712.47484","2014184689.59659","2715501613.89921","3053335680.91256","3386757725.98531","3884917081.006","4373128812.90911","3939528388.22247","3390642976.84281","3785530667.05936","3263361079.4452","3331982829.01199","3195744975.35078","2779928277.70372","2890329017.05701","3199793450.36134","3616720925.34985","3436655425.2711","3434284399.44777","4366740726.42968","4518553598.47091",
"Andorra","AND","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","7641823972.82152","8472558052.68691","9142241484.13792","11465703280.7029","15812085918.4917","23769055671.3096","42164647959.2259","58637730088.8947","74955868444.27","90392057002.8039","102035763522.218","122709390125.26","144500884923.587","151737235264.482","145456763541.018","133502135754.287","123976576495.251","124735282596.535","119878740871.736","108660807663.941","121732478221.344","136190077988.432","113095288932.323","119207551269.676","127659188004.978","132870164701.635","134511319994.706","138331775531.354","145068118213.841","149876038728.299","151799096136.346","156988236845.017","162630027899.518","167031514547.448","188978591967.119","221760491314.049","273874084753.776","330786818395.197","417311713285.62","525091833045.236","504082523135.558","568148011874.638","573950085115.677","592953685730.132","620949043042.743","655212564787.302","642294044066.939","603294789676.291","586774548250.512","603819913295.464","639445186759","548940932254.466","601656357408.542","721886252218.3",
"United Arab Emirates","ARE","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21672821592.9204","23139830197.4132","25853443648.7406","27619676405.7182","33195915588.8359","39044114853.6419","60798638529.612","70583970646.6984","73308153410.4833","71752718202.8591","75168048413.887","77961722260.0408","71052518012.2532","78929978270.9326","83725068454.7311","87307882831.8584","73175615194.0095","73146297944.1797","76782614213.7509","70613018270.9326","","",
"Argentina","ARG","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","22870000000","22557142857.1429","15551666666.6667","18546808510.6383","21320560747.6636","23659428571.4286","11888860206.9259","19785104979.8088","27769271211.3267","38211583094.5993","45114528828.8288","51330897900","46285080200","49210611100","56727150100","59595219100","51073902400","46020116800","38098830100","11688424248.1085","19313487764.3146","26170381202.9054","34483165290.6659","42630505717.2557","56114681625.8495","68732764883.4796","51883572175.6764","70497814077.3976","91443182251.6994","86579294008.072","89922196966.4496","84105642157.6515","92571210122.056","79573035277.0583","97588216231.8032","80040541570.5404","63576894130.6922","55093408839.0922","85997162259.2442","112873845677.231",
