"Country.Name","Country.Code","year","cpi","trade_openness","agr_share","Region","IncomeGroup","edu","country","currency_unit","rgdpe","rgdpo","pop","emp","avh","hc","ccon","cda","cgdpe","cgdpo","cn","ck","ctfp","cwtfp","rgdpna","rconna","rdana","rnna","rkna","rtfpna","rwtfpna","labsh","irr","delta","xr","pl_con","pl_da","pl_gdpo","i_cig","i_xm","i_xr","i_outlier","i_irr","cor_exp","statcap","csh_c","csh_i","csh_g","csh_x","csh_m","csh_r","pl_c","pl_i","pl_g","pl_x","pl_m","pl_n","pl_k","gdp_log","k_log","employment_log","cpi_log","trade_openness_log","agr_share_log","edu_log","Y_L"
"Afghanistan","AFG",1960,NA,11.157026581176,NA,"South Asia","Low income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41206948607446,NA,NA,NA
"Angola","AGO",1960,NA,NA,NA,"Sub-Saharan Africa","Lower middle income",NA,"Angola","Kwanza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burundi","BDI",1960,NA,25.8928574435131,NA,"Sub-Saharan Africa","Low income",NA,"Burundi","Burundi Franc",2000.56591796875,2099.75366210938,2.78115950496095,NA,NA,1.09549450874329,1770.14587402344,1910.42333984375,1893.71264648438,1920.34448242188,5546.86669921875,NA,NA,NA,1941.15393066406,1849.55310058594,1981.87109375,4715.77001953125,NA,NA,NA,NA,NA,0.0403298400342464,50.00000005,0.106103047728539,0.104724369943142,0.103272028267384,"Extrapolated","Extrapolated","Market-based","Regular",NA,NA,NA,0.906320452690125,0.0730480551719666,0.0154651366174221,0.115270413458347,-0.110103987157345,-4.04069027126752e-08,0.10489708930254,0.0873269289731979,0.176777228713036,0.110679991543293,0.124150119721889,0.0774521827697754,NA,7.5710378848489,NA,NA,NA,3.25396715629101,NA,NA,NA
"Benin","BEN",1960,NA,18.2341998166072,46.15772309,"Sub-Saharan Africa","Lower middle income",NA,"Benin","CFA Franc BCEAO",3884.60498046875,4066.5419921875,2.28455613775775,NA,NA,1.06519985198975,3564.26708984375,3719.08349609375,3628.23217773438,3686.54858398438,2832.37670898438,NA,NA,NA,2509.54443359375,3271.06689453125,3131.80029296875,6658.037109375,NA,NA,NA,NA,NA,0.04273671656847,245.195098717111,0.0479032509028912,0.0550950467586517,0.0542235188186169,"Extrapolated","Extrapolated","Market-based","Regular",NA,NA,NA,0.607725739479065,0.0419949479401112,0.359104633331299,0.0235147569328547,-0.0730452835559845,0.0407052077353001,0.0524727627635002,0.220668494701385,0.0401701033115387,0.209571689367294,0.116269953548908,0.0794405713677406,NA,7.82785651509235,NA,NA,NA,2.90329894156528,3.83206429451012,NA,NA
"Burkina Faso","BFA",1960,7.78816199376884,20.7013700595553,38.48453334,"Sub-Saharan Africa","Low income",NA,"Burkina Faso","CFA Franc BCEAO",4647.1376953125,5043.853515625,5.16012561594278,2.7107527256012,NA,1.00703823566437,4716.32958984375,4859.43359375,4611.294921875,4866.0087890625,2448.14697265625,NA,NA,NA,3841.94213867188,4209.18603515625,3722.35400390625,2320.05981445312,NA,NA,NA,0.460462599992752,0.2791907787323,0.0397437065839767,245.195098717111,0.0752473399043083,0.0791535452008247,0.07501021027565,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.908877670764923,0.029408885166049,0.0603622011840343,0.00599298533052206,-0.0200853310525417,0.0154436128214002,0.0718732923269272,0.207891866564751,0.126050502061844,0.175832882523537,0.311101257801056,0.2232985496521,NA,8.25373328300476,NA,0.997226354848279,2.0526048877262,3.03019988453304,3.65025642914948,NA,1860.68373850159
"Bangladesh","BGD",1960,NA,19.3039436708071,57.47431238,"South Asia","Lower middle income",NA,"Bangladesh","Taka",83272.4765625,81414.34375,52.0800693872048,17.859733581543,NA,1.129225730896,88874.90625,90214.4609375,86842.328125,84070.71875,47873.3515625,NA,NA,NA,79232.65625,115539.0234375,102429.4453125,83580.2890625,NA,NA,NA,NA,NA,0.0367701649665833,6.82542580727406,0.0379080139100552,0.0385297983884811,0.0398000366985798,"Extrapolated","Extrapolated","Market-based","Regular",NA,NA,NA,1.04387259483337,0.0159336421638727,0.0132719883695245,0.00313592585735023,-0.0599084459245205,-0.0163057427853346,0.0382144711911678,0.0797830894589424,0.0138045400381088,0.195320293307304,0.025188360363245,0.0722325369715691,NA,11.2801438192082,NA,2.88254865829023,NA,2.96030941031221,4.05133810676733,NA,4558.54189416001
"Bolivia","BOL",1960,11.5331525756195,40.1428890377316,NA,"Latin America & Caribbean","Lower middle income",NA,"Bolivia (Plurinational State of)","Boliviano",5475.04736328125,6939.5263671875,3.54294159960547,1.5467916727066,NA,1.48056387901306,4610.85595703125,5598.04150390625,5243.431640625,6355.06298828125,14632.13671875,0.000883203465491533,0.452678292989731,0.399077117443085,15939.5322265625,13282.2109375,15578.6865234375,30529.009765625,0.13338129222393,1.22094678878784,1.10378003120422,0.513199985027313,0.20351468026638,0.0334348678588867,1.18999997887032e-05,0.117774747312069,0.112007342278957,0.092414952814579,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.61897873878479,0.155338436365128,0.106561779975891,0.314066737890244,-0.148932799696922,-0.0460129119455814,0.129537865519524,0.0850694701075554,0.04944708943367,0.0307689011096954,0.0782981961965561,0.0779125615954399,1.64416813850403,9.67655760602669,-2.01454339353633,0.436182897174711,2.4452257206386,3.69244531481236,NA,NA,4486.40013366803
"Bhutan","BTN",1960,NA,NA,NA,"South Asia","Lower middle income",NA,"Bhutan","Ngultrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central African Republic","CAF",1960,NA,57.4545367418192,NA,"Sub-Saharan Africa","Low income",NA,"Central African Republic","CFA Franc BEAC",2140.36743164062,2240.14892578125,1.44502848508517,NA,NA,1.07182037830353,1695.3251953125,2181.18627929688,1966.6435546875,2040.32849121094,5522.77978515625,NA,NA,NA,2730.00634765625,2378.88012695312,2928.96899414062,16121.203125,NA,NA,NA,NA,NA,0.0422399789094925,245.195098717111,0.0881161317229271,0.0832226946949959,0.0802171677350998,"Extrapolated","Extrapolated","Market-based","Regular",NA,NA,NA,0.515662491321564,0.238128870725632,0.315245479345322,0.0389378629624844,-0.0496068559587002,-0.0583678707480431,0.112004213035107,0.0661479085683823,0.0490412339568138,0.152059778571129,0.201378151774406,0.0681883916258812,NA,7.91205921332511,NA,NA,NA,4.05099396970292,NA,NA,NA
"Cote d'Ivoire","CIV",1960,NA,57.1440675728154,47.90792295,"Sub-Saharan Africa","Lower middle income",NA,"Côte d'Ivoire","CFA Franc BCEAO",6640.98486328125,5840.771484375,3.27035820620511,1.2199649810791,NA,1.03838741779327,5263.1318359375,5867.32861328125,6419.474609375,5806.90673828125,2203.24609375,NA,NA,NA,8197.8623046875,5942.9970703125,7424.66259765625,7985.35595703125,NA,NA,NA,0.569371581077576,0.435029596090317,0.0429442189633846,245.195098717111,0.0808554589748383,0.0882384106516838,0.0975466445088387,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.786549627780914,0.10404796898365,0.119807578623295,0.192702099680901,-0.205471128225327,0.00236384687013924,0.0818815603852272,0.152550965547562,0.0741190016269684,0.13651630282402,0.0883212685585022,0.196984067559242,NA,9.01162870471531,NA,0.198822154299673,NA,4.04557558035259,3.86928089679308,NA,4787.65503515407
"Cameroon","CMR",1960,NA,NA,NA,"Sub-Saharan Africa","Lower middle income",NA,"Cameroon","CFA Franc BEAC",8495.5087890625,8538.083984375,5.43618698766072,2.51434779167175,NA,1.13174211978912,7828.88623046875,9008.447265625,8181.74658203125,7993.59765625,11463.0390625,NA,NA,NA,13982.08203125,13119.1181640625,13761.35546875,16144.13671875,NA,NA,NA,0.555014967918396,0.198509812355042,0.0407488085329533,245.195098717111,0.0766215547919273,0.0766876265406609,0.0784926638007164,"Extrapolated","Extrapolated","Market-based","Regular","Regular",NA,NA,0.826754152774811,0.147563263773918,0.152640372514725,0.0950803160667419,-0.105829402804375,-0.116208709776402,0.0797611996531487,0.0771261751651764,0.0596160925924778,0.122740298509598,0.0990246161818504,0.0950033366680145,NA,9.5455319339729,NA,0.92201344255345,NA,NA,NA,NA,3395.74501692073
"Congo, Dem. Rep.","COD",1960,NA,NA,NA,"Sub-Saharan Africa","Low income",NA,"D.R. of the Congo","Franc Congolais",42627.9453125,45535.109375,15.2607150727564,5.79709434509277,NA,1.07074320316315,28273.345703125,32700.0390625,40898.91015625,43226.078125,55552.37109375,NA,NA,NA,42396.9375,30047.576171875,25659.841796875,36804.14453125,NA,NA,NA,NA,NA,0.0246860478073359,1.67000002710505e-13,0.0797146335244179,0.0823241248726845,0.0778920277953148,"Extrapolated","Extrapolated","Market-based","Regular",NA,NA,NA,0.443678289651871,0.102407939732075,0.210402444005013,0.0130777694284916,-0.0112607618793845,0.241694360971451,0.0860334783792496,0.0989909246563911,0.0663900226354599,0.477989852428436,0.840293288230896,0.156849339604378,NA,10.6548314098378,NA,1.75735681703848,NA,NA,NA,NA,7854.81599304061
