Country.Code,results_mean,results_median,results_weighted
AFG,0.001309415,0.00109833,0.001327014
ALA,0.000266356,0.000266567,0.000266373
ALB,0.021911453,0.020378763,0.021980111
DZA,0.019812673,0.019580548,0.020104533
ASM,1.04E-05,1.04E-05,1.04E-05
AND,0.016014675,0.016011241,0.016014623
AGO,0.069871821,0.061608597,0.070332967
AIA,0.031795066,0.031768698,0.031795077
ATA,NA,NA,NA
ATG,0.037056241,0.038133256,0.037059009
ARG,0.000560216,7.79E-05,0.000604706
ARM,0.000782904,0.000667694,0.000785388
ABW,0.024366476,0.024369635,0.024366571
AUS,0.000225736,3.15E-05,0.000213989
AUT,0.005425146,0.005331648,0.005433642
AZE,0.001146745,0.001077968,0.001150744
BHS,0.04049848,0.041289407,0.040529177
BHR,0.06042539,0.060545284,0.06042558
BGD,0.001756802,0.001799551,0.00175516
BRB,0.044654425,0.044727168,0.044654395
BLR,0.000364248,0.000346588,0.000366151
BEL,0.009502507,0.009222832,0.00948397
BLZ,0.070814289,0.068536361,0.070839509
BEN,0.085951649,0.084148665,0.08601626
BMU,0.002882917,0.002891351,0.002882924
BTN,0.001225845,0.001266357,0.001225733
BOL,0.000578954,0.000257646,0.000578084
BES,0.033447936,0.033075735,0.033439253
BIH,0.008154955,0.007936438,0.008167066
BWA,0.00429106,0.002449226,0.004316941
BVT,1.41E-05,1.41E-05,1.41E-05
BRA,0.01093721,0.007451932,0.010862328
IOT,0.000160169,0.000160241,0.00016017
BRN,4.74E-05,4.79E-05,4.74E-05
BGR,0.013333607,0.012207425,0.013388274
BFA,0.058086876,0.058567445,0.058074567
BDI,0.051451366,0.053122454,0.051447663
CPV,0.032686785,0.035583326,0.032711297
KHM,3.07E-05,3.30E-05,3.07E-05
CMR,0.089227855,0.090340325,0.089270093
CAN,0.000494503,0.000103242,0.000667953
CYM,0.039711587,0.039700903,0.039711583
CAF,0.055980366,0.055385435,0.056018692
TCD,0.035157897,0.031628412,0.035234697
CHL,1.77E-05,1.57E-05,1.83E-05
CHN,0.000267001,4.36E-05,0.000280709
CXR,0.000170707,0.000171063,0.000170707
CCK,NA,NA,NA
COL,0.007024456,0.004614547,0.007009173
COM,0.025865555,0.02207479,0.025857884
COG,0.095404319,0.100258277,0.095403314
COD,0.102761947,0.10915384,0.102723904
COK,9.89E-06,9.88E-06,9.89E-06
CRI,0.027861323,0.027686338,0.027858641
CIV,0.067234628,0.071181256,0.06717997
HRV,0.006731824,0.006474043,0.006748421
CUB,0.03938964,0.041240744,0.03945189
CUW,0.031486284,0.031235413,0.0314865
CYP,0.011333426,0.0109225,0.011334473
CZE,0.0036099,0.003557034,0.003610513
DNK,0.002968789,0.00285734,0.002977795
DJI,0.001404808,0.001366154,0.001404259
DMA,0.040009256,0.040106755,0.040009461
DOM,0.035004128,0.035438584,0.035005081
ECU,0.001737593,0.001454206,0.001738189
EGY,0.034287933,0.033919167,0.034253519
SLV,0.023095712,0.022769702,0.023096321
GNQ,0.123822659,0.123258591,0.123825327
ERI,0.006461539,0.004992804,0.00645763
EST,0.000209537,0.000204945,0.000209738
SWZ,0.009004687,0.008761748,0.009009358
ETH,0.003875988,0.002817817,0.003878611
FLK,2.22E-05,2.22E-05,2.22E-05
FRO,0.000313725,0.000304455,0.00031391
FJI,1.30E-05,1.31E-05,1.30E-05
FIN,8.62E-05,7.48E-05,8.97E-05
FRA,0.016988033,0.017785343,0.016966216
GUF,0.018010681,0.012973747,0.018002745
PYF,9.88E-06,9.73E-06,9.88E-06
ATF,5.42E-05,1.47E-05,7.01E-05
GAB,0.115671635,0.113335055,0.115674563
GMB,0.073017366,0.07355219,0.073015414
GEO,0.000373038,0.000338342,0.000373497
DEU,0.006513033,0.006565226,0.006544996
GHA,0.069512859,0.071455566,0.06957034
GIB,0.004449892,0.004449892,0.004449892
GRC,0.031968422,0.032641496,0.031818978
GRL,2.38E-05,2.16E-05,2.59E-05
GRD,0.053336218,0.053287347,0.053336043
GLP,0.041264355,0.041781323,0.041264601
GUM,8.88E-06,8.88E-06,8.88E-06
GTM,0.024766233,0.020601104,0.024732294
GGY,0.018117903,0.018102422,0.018117897
GIN,0.106176116,0.110757202,0.106157236
GNB,0.055779345,0.055126459,0.055772249
GUY,0.026491471,0.026112355,0.026477719
HTI,0.055437341,0.055735069,0.055445712
HMD,1.24E-05,1.24E-05,1.24E-05
VAT,NA,NA,NA
HND,0.053875677,0.055104635,0.053851429
HUN,0.002992405,0.003135307,0.003005472
ISL,8.16E-05,8.08E-05,8.18E-05
IND,0.024726115,0.015404559,0.025275707
IDN,0.000178284,5.02E-05,0.000178393
IRN,0.012196779,0.006886064,0.012315592
