adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID,region
CABO VERDE,NA,NA,CABO VERDE,CPV,47,CPV,NA,2023-11-01,2023-11-30,2023,221,Total,Admin0,Month,WHO-ALL-2025-Y01-00,AFRO
CABO VERDE,NA,NA,CABO VERDE,CPV,47,CPV,NA,2023-12-01,2023-12-31,2023,292,Total,Admin0,Month,WHO-ALL-2025-Y01-00,AFRO
COTE D'IVOIRE,NA,NA,COTE D'IVOIRE,CIV,66,CIV,NA,2023-12-01,2023-12-31,2023,19,Total,Admin0,Month,WHO-ALL-2025-Y01-00,AFRO
COTE D'IVOIRE,NA,NA,COTE D'IVOIRE,CIV,66,CIV,NA,2023-01-01,2023-01-31,2023,118,Total,Admin0,Month,WHO-ALL-2025-Y01-00,AFRO
COTE D'IVOIRE,NA,NA,COTE D'IVOIRE,CIV,66,CIV,NA,2023-02-01,2023-02-28,2023,91,Total,Admin0,Month,WHO-ALL-2025-Y01-00,AFRO
COTE D'IVOIRE,NA,NA,COTE D'IVOIRE,CIV,66,CIV,NA,2023-07-01,2023-07-31,2023,841,Total,Admin0,Month,WHO-ALL-2025-Y01-00,AFRO
COTE D'IVOIRE,NA,NA,COTE D'IVOIRE,CIV,66,CIV,NA,2023-08-01,2023-08-31,2023,1842,Total,Admin0,Month,WHO-ALL-2025-Y01-00,AFRO
COTE D'IVOIRE,NA,NA,COTE D'IVOIRE,CIV,66,CIV,NA,2023-09-01,2023-09-30,2023,550,Total,Admin0,Month,WHO-ALL-2025-Y01-00,AFRO
COTE D'IVOIRE,NA,NA,COTE D'IVOIRE,CIV,66,CIV,NA,2023-10-01,2023-10-31,2023,117,Total,Admin0,Month,WHO-ALL-2025-Y01-00,AFRO
COTE D'IVOIRE,NA,NA,COTE D'IVOIRE,CIV,66,CIV,NA,2023-11-01,2023-11-30,2023,61,Total,Admin0,Month,WHO-ALL-2025-Y01-00,AFRO
