adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID,region
AFGHANISTAN,NA,NA,AFGHANISTAN,AFG,1011446,AFG,NA,2023-04-02,2023-04-08,2023,9,Total,Admin0,Week,WHOEMRO-AFG-2023-W02-52,EMRO
AFGHANISTAN,NA,NA,AFGHANISTAN,AFG,1011446,AFG,NA,2023-04-23,2023-04-29,2023,35,Total,Admin0,Week,WHOEMRO-AFG-2023-W02-52,EMRO
AFGHANISTAN,NA,NA,AFGHANISTAN,AFG,1011446,AFG,NA,2023-04-09,2023-04-15,2023,17,Total,Admin0,Week,WHOEMRO-AFG-2023-W02-52,EMRO
AFGHANISTAN,NA,NA,AFGHANISTAN,AFG,1011446,AFG,NA,2023-04-16,2023-04-22,2023,20,Total,Admin0,Week,WHOEMRO-AFG-2023-W02-52,EMRO
AFGHANISTAN,NA,NA,AFGHANISTAN,AFG,1011446,AFG,NA,2023-04-30,2023-05-06,2023,27,Total,Admin0,Week,WHOEMRO-AFG-2023-W02-52,EMRO
AFGHANISTAN,NA,NA,AFGHANISTAN,AFG,1011446,AFG,NA,2023-05-07,2023-05-13,2023,10,Total,Admin0,Week,WHOEMRO-AFG-2023-W02-52,EMRO
AFGHANISTAN,NA,NA,AFGHANISTAN,AFG,1011446,AFG,NA,2023-03-26,2023-04-01,2023,19,Total,Admin0,Week,WHOEMRO-AFG-2023-W02-52,EMRO
AFGHANISTAN,NA,NA,AFGHANISTAN,AFG,1011446,AFG,NA,2023-05-14,2023-05-20,2023,27,Total,Admin0,Week,WHOEMRO-AFG-2023-W02-52,EMRO
AFGHANISTAN,NA,NA,AFGHANISTAN,AFG,1011446,AFG,NA,2023-05-21,2023-05-27,2023,32,Total,Admin0,Week,WHOEMRO-AFG-2023-W02-52,EMRO
AFGHANISTAN,NA,NA,AFGHANISTAN,AFG,1011446,AFG,NA,2023-05-28,2023-06-03,2023,18,Total,Admin0,Week,WHOEMRO-AFG-2023-W02-52,EMRO
AFGHANISTAN,NA,NA,AFGHANISTAN,AFG,1011446,AFG,NA,2023-06-04,2023-06-10,2023,8,Total,Admin0,Week,WHOEMRO-AFG-2023-W02-52,EMRO
AFGHANISTAN,NA,NA,AFGHANISTAN,AFG,1011446,AFG,NA,2023-06-11,2023-06-17,2023,22,Total,Admin0,Week,WHOEMRO-AFG-2023-W02-52,EMRO
AFGHANISTAN,NA,NA,AFGHANISTAN,AFG,1011446,AFG,NA,2023-06-18,2023-06-24,2023,5,Total,Admin0,Week,WHOEMRO-AFG-2023-W02-52,EMRO
AFGHANISTAN,NA,NA,AFGHANISTAN,AFG,1011446,AFG,NA,2023-06-25,2023-07-01,2023,26,Total,Admin0,Week,WHOEMRO-AFG-2023-W02-52,EMRO
AFGHANISTAN,NA,NA,AFGHANISTAN,AFG,1011446,AFG,NA,2023-07-02,2023-07-08,2023,18,Total,Admin0,Week,WHOEMRO-AFG-2023-W02-52,EMRO
