adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID,region
AUSTRALIA,NA,NA,AUSTRALIA,AUS,17,AUS,NA,2023-01-01,2023-01-31,2023,82,Probable and confirmed,Admin0,Month,MOH-AUS-19912025-Y01-01,WPRO
AUSTRALIA,NA,NA,AUSTRALIA,AUS,17,AUS,NA,2023-02-01,2023-02-28,2023,80,Probable and confirmed,Admin0,Month,MOH-AUS-19912025-Y01-01,WPRO
AUSTRALIA,NA,NA,AUSTRALIA,AUS,17,AUS,NA,2023-03-01,2023-03-31,2023,93,Probable and confirmed,Admin0,Month,MOH-AUS-19912025-Y01-01,WPRO
AUSTRALIA,NA,NA,AUSTRALIA,AUS,17,AUS,NA,2023-04-01,2023-04-30,2023,82,Probable and confirmed,Admin0,Month,MOH-AUS-19912025-Y01-01,WPRO
AUSTRALIA,NA,NA,AUSTRALIA,AUS,17,AUS,NA,2023-05-01,2023-05-31,2023,84,Probable and confirmed,Admin0,Month,MOH-AUS-19912025-Y01-01,WPRO
AUSTRALIA,NA,NA,AUSTRALIA,AUS,17,AUS,NA,2023-06-01,2023-06-30,2023,74,Probable and confirmed,Admin0,Month,MOH-AUS-19912025-Y01-01,WPRO
AUSTRALIA,NA,NA,AUSTRALIA,AUS,17,AUS,NA,2023-07-01,2023-07-31,2023,106,Probable and confirmed,Admin0,Month,MOH-AUS-19912025-Y01-01,WPRO
AUSTRALIA,NA,NA,AUSTRALIA,AUS,17,AUS,NA,2023-08-01,2023-08-31,2023,110,Probable and confirmed,Admin0,Month,MOH-AUS-19912025-Y01-01,WPRO
AUSTRALIA,NA,NA,AUSTRALIA,AUS,17,AUS,NA,2023-09-01,2023-09-30,2023,109,Probable and confirmed,Admin0,Month,MOH-AUS-19912025-Y01-01,WPRO
AUSTRALIA,NA,NA,AUSTRALIA,AUS,17,AUS,NA,2023-10-01,2023-10-31,2023,92,Probable and confirmed,Admin0,Month,MOH-AUS-19912025-Y01-01,WPRO
