adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID,region
OMAN,NA,NA,OMAN,OMN,187,OMN,NA,2001-01-01,2001-12-31,2001,1,Suspected,Admin0,Year,WHOEMRO-ALL-2018-Y01-02,EMRO
OMAN,NA,NA,OMAN,OMN,187,OMN,NA,2002-01-01,2002-12-31,2002,1,Suspected,Admin0,Year,WHOEMRO-ALL-2018-Y01-02,EMRO
OMAN,NA,NA,OMAN,OMN,187,OMN,NA,2003-01-01,2003-12-31,2003,4,Suspected,Admin0,Year,WHOEMRO-ALL-2018-Y01-02,EMRO
OMAN,NA,NA,OMAN,OMN,187,OMN,NA,2004-01-01,2004-12-31,2004,4,Suspected,Admin0,Year,WHOEMRO-ALL-2018-Y01-02,EMRO
OMAN,NA,NA,OMAN,OMN,187,OMN,NA,2005-01-01,2005-12-31,2005,0,Suspected,Admin0,Year,WHOEMRO-ALL-2018-Y01-02,EMRO
OMAN,NA,NA,OMAN,OMN,187,OMN,NA,2006-01-01,2006-12-31,2006,2,Suspected,Admin0,Year,WHOEMRO-ALL-2018-Y01-02,EMRO
OMAN,NA,NA,OMAN,OMN,187,OMN,NA,2007-01-01,2007-12-31,2007,1,Suspected,Admin0,Year,WHOEMRO-ALL-2018-Y01-02,EMRO
OMAN,NA,NA,OMAN,OMN,187,OMN,NA,2008-01-01,2008-12-31,2008,2,Suspected,Admin0,Year,WHOEMRO-ALL-2018-Y01-02,EMRO
OMAN,NA,NA,OMAN,OMN,187,OMN,NA,2009-01-01,2009-12-31,2009,3,Suspected,Admin0,Year,WHOEMRO-ALL-2018-Y01-02,EMRO
OMAN,NA,NA,OMAN,OMN,187,OMN,NA,2010-01-01,2010-12-31,2010,10,Suspected,Admin0,Year,WHOEMRO-ALL-2018-Y01-02,EMRO
OMAN,NA,NA,OMAN,OMN,187,OMN,NA,2011-01-01,2011-12-31,2011,12,Suspected,Admin0,Year,WHOEMRO-ALL-2018-Y01-02,EMRO
OMAN,NA,NA,OMAN,OMN,187,OMN,NA,2012-01-01,2012-12-31,2012,14,Suspected,Admin0,Year,WHOEMRO-ALL-2018-Y01-02,EMRO
OMAN,NA,NA,OMAN,OMN,187,OMN,NA,2013-01-01,2013-12-31,2013,10,Suspected,Admin0,Year,WHOEMRO-ALL-2018-Y01-02,EMRO
OMAN,NA,NA,OMAN,OMN,187,OMN,NA,2014-01-01,2014-12-31,2014,13,Suspected,Admin0,Year,WHOEMRO-ALL-2018-Y01-02,EMRO
OMAN,NA,NA,OMAN,OMN,187,OMN,NA,2015-01-01,2015-01-31,2015,0,Total,Admin0,Month,MOH-OMN-2015-Y01-01,EMRO
OMAN,NA,NA,OMAN,OMN,187,OMN,NA,2015-02-01,2015-02-28,2015,0,Total,Admin0,Month,MOH-OMN-2015-Y01-01,EMRO
