adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID,region
AMERICAN SAMOA,NA,NA,AMERICAN SAMOA,ASM,5,ASM,NA,2015-01-01,2015-12-31,2015,479,Total,Admin0,Year,LITERATURE-ALL-20112019-Y01-02,WPRO
AMERICAN SAMOA,NA,NA,AMERICAN SAMOA,ASM,5,ASM,NA,2017-04-02,2017-04-08,2017,7,Suspected,Admin0,Week,WHOWPRO-PICs-2017-Y01-00,WPRO
AMERICAN SAMOA,NA,NA,AMERICAN SAMOA,ASM,5,ASM,NA,2016-01-01,2016-12-31,2016,0,Total,Admin0,Year,LITERATURE-ALL-20112019-Y01-02,WPRO
AMERICAN SAMOA,NA,NA,AMERICAN SAMOA,ASM,5,ASM,NA,2019-06-23,2019-06-29,2019,0,Suspected,Admin0,Week,WHOWPRO-PICs-2019-Y01-02,WPRO
AMERICAN SAMOA,NA,NA,AMERICAN SAMOA,ASM,5,ASM,NA,2017-04-09,2017-04-15,2017,19,Suspected,Admin0,Week,WHOWPRO-PICs-2017-Y01-00,WPRO
AMERICAN SAMOA,NA,NA,AMERICAN SAMOA,ASM,5,ASM,NA,2017-04-16,2017-04-22,2017,10,Suspected,Admin0,Week,WHOWPRO-PICs-2017-Y01-00,WPRO
AMERICAN SAMOA,NA,NA,AMERICAN SAMOA,ASM,5,ASM,NA,2017-04-23,2017-04-29,2017,9,Suspected,Admin0,Week,WHOWPRO-PICs-2017-Y01-00,WPRO
AMERICAN SAMOA,NA,NA,AMERICAN SAMOA,ASM,5,ASM,NA,2019-07-28,2019-08-03,2019,0,Suspected,Admin0,Week,WHOWPRO-PICs-2019-Y01-02,WPRO
AMERICAN SAMOA,NA,NA,AMERICAN SAMOA,ASM,5,ASM,NA,2019-08-04,2019-08-10,2019,0,Suspected,Admin0,Week,WHOWPRO-PICs-2019-Y01-02,WPRO
AMERICAN SAMOA,NA,NA,AMERICAN SAMOA,ASM,5,ASM,NA,2017-04-30,2017-05-06,2017,16,Suspected,Admin0,Week,WHOWPRO-PICs-2017-Y01-00,WPRO
AMERICAN SAMOA,NA,NA,AMERICAN SAMOA,ASM,5,ASM,NA,2017-05-07,2017-05-13,2017,14,Suspected,Admin0,Week,WHOWPRO-PICs-2017-Y01-00,WPRO
AMERICAN SAMOA,NA,NA,AMERICAN SAMOA,ASM,5,ASM,NA,2017-05-14,2017-05-20,2017,20,Suspected,Admin0,Week,WHOWPRO-PICs-2017-Y01-00,WPRO
AMERICAN SAMOA,NA,NA,AMERICAN SAMOA,ASM,5,ASM,NA,2017-05-21,2017-05-27,2017,16,Suspected,Admin0,Week,WHOWPRO-PICs-2017-Y01-00,WPRO
AMERICAN SAMOA,NA,NA,AMERICAN SAMOA,ASM,5,ASM,NA,2017-07-16,2017-07-22,2017,0,Suspected,Admin0,Week,WHOWPRO-PICs-2017-Y01-00,WPRO
AMERICAN SAMOA,NA,NA,AMERICAN SAMOA,ASM,5,ASM,NA,2018-07-01,2018-07-07,2018,0,Suspected,Admin0,Week,WHOWPRO-PICs-2018-Y01-01,WPRO
AMERICAN SAMOA,NA,NA,AMERICAN SAMOA,ASM,5,ASM,NA,2018-11-11,2018-11-17,2018,0,Suspected,Admin0,Week,WHOWPRO-PICs-2018-Y01-01,WPRO
AMERICAN SAMOA,NA,NA,AMERICAN SAMOA,ASM,5,ASM,NA,2018-12-09,2018-12-15,2018,0,Suspected,Admin0,Week,WHOWPRO-PICs-2018-Y01-01,WPRO
AMERICAN SAMOA,NA,NA,AMERICAN SAMOA,ASM,5,ASM,NA,2019-06-16,2019-06-22,2019,4,Suspected,Admin0,Week,WHOWPRO-PICs-2019-Y01-02,WPRO
AMERICAN SAMOA,NA,NA,AMERICAN SAMOA,ASM,5,ASM,NA,2008-01-01,2008-12-31,2008,649,Total,Admin0,Year,TYCHO-ALL-19242017-SV_DF01-00,WPRO
