"year","olr_o","olr_a","olr_std"
1975,60.85,17.6916666666667,1.13333333333333
1976,44.0166666666667,0.858333333333334,0.0666666666666667
1977,38.6083333333333,-4.55,-0.283333333333333
1978,20.3,-14.5,-0.9
1979,40.5833333333333,-2.575,-0.175
1980,40.075,-3.08333333333333,-0.216666666666667
1981,43.1916666666667,0.0333333333333331,0.00833333333333334
1982,32.4583333333333,-10.7,-0.691666666666667
1983,39.0416666666667,-4.11666666666667,-0.258333333333333
1984,53.1833333333333,10.025,0.65
1985,48.3333333333333,5.175,0.333333333333333
1986,39.4666666666667,-3.69166666666667,-0.241666666666667
1987,20.0416666666667,-23.1166666666667,-1.49166666666667
1988,52.4,9.24166666666667,0.6
1989,52.4916666666667,9.33333333333333,0.591666666666667
1990,34.5666666666667,-8.59166666666667,-0.558333333333333
1991,31.6583333333333,-11.5,-0.733333333333333
1992,25.2083333333333,-17.95,-1.13333333333333
1993,25.8333333333333,-17.325,-1.10833333333333
1994,34.975,-8.18333333333333,-0.516666666666667
1995,46.6916666666667,3.53333333333333,0.225
1996,54.9333333333333,11.775,0.75
1997,26.4,-16.7583333333333,-1.09166666666667
1998,49.5666666666667,6.40833333333333,0.4
1999,58.8916666666667,15.7333333333333,1.00833333333333
2000,57.6416666666667,14.4833333333333,0.941666666666667
2001,43.6083333333333,0.45,0.025
2002,29.1416666666667,-14.0166666666667,-0.908333333333333
2003,40.0916666666667,-3.06666666666667,-0.191666666666667
2004,37.55,-5.60833333333333,-0.366666666666667
2005,40.4583333333333,-2.7,-0.175
2006,42.3916666666667,-0.766666666666667,-0.05
2007,47.65,4.49166666666667,0.3
2008,57.2583333333333,14.1,0.891666666666667
2009,41.48,5.26,0.32
2010,47.7833333333333,4.625,0.291666666666667
2011,57.2333333333333,14.075,0.908333333333333
2012,47.4666666666667,4.30833333333333,0.283333333333333
2013,48.6083333333333,5.45,0.35
2014,40.1916666666667,-2.96666666666667,-0.2
2015,24.275,-18.8833333333333,-1.20833333333333
2016,40.725,-2.43333333333333,-0.158333333333333
2017,52.325,9.16666666666667,0.575
2018,50.6,7.44166666666667,0.466666666666667
2019,36.9166666666667,-6.24166666666667,-0.4
2020,52.4666666666667,9.30833333333333,0.591666666666667
2021,58.0833333333333,14.925,0.966666666666667
2022,63.95,20.7916666666667,1.33333333333333
2023,43.05,-0.108333333333333,-0.0166666666666667
2024,49.225,6.06666666666667,0.383333333333333
2025,56.5833333333333,18.1833333333333,1.16666666666667
NA,59.1428571428571,11.8285714285714,0.742857142857143
