Country Name,Country Code,Series,Series Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,AFG,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,13.72,,,,24.08,,,,,,,,
Albania,ALB,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,46.58,,,,,46.95,,,,48.17,,,,,,,,80.31,,,,,,
Algeria,DZA,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,29.42,,,,,,,,,,
American Samoa,ASM,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,18.82,,,,,,,,
Anguilla,AIA,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,54.99,,,,,,,,,,,,,
Armenia,ARM,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,85.05,,,,,,35.45,,,,,93.05,,,,,64.71,,,,,,,
Aruba,ABW,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,85.02,,,,,,,,,,,,,
Austria,AUT,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,86.81,,,,,,85.21,,91.64,88.32,,,,,,,,,
Azerbaijan,AZE,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,64.4,,,,,,74.95,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,10.54,,,,7.63,,12.69,8.17,,,,13.45,,17.35,18.9,,,,,29.36,,,,
Barbados,BRB,"Completion rate, upper secondary education, both sexes (%)",UIS.CR.3,,,,,,,,,,,,,,94.19,,,,,,,,,,,
