Country Name,Country Code,Series,Series Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,AFG,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,46.99005,,,,,,,65.42055,,,,,
Albania,ALB,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,99.43515,,,,,,,98.83121,,,98.79119,99.2314,,,,,,99.33,,,,,
Algeria,DZA,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,90.13721,,,,91.77964,,93.76733,,,,,,,,,,97.42652,,,,,
American Samoa,ASM,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,72.19449,,,,,,,,,,,,,77.43113,,,,,,,,,
Anguilla,AIA,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,79.62744,80.18484,81.14054,82.12362,83.01048,83.6424,84.06601,82.64806,83.38933,84.04509,81.33587,81.68145,82.0158,85.90535,86.29378,87.18571,83.81765,86.08725,86.60847,82.83087,82.90794,,,,
Argentina,ARG,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,98.91666,,,,,99.44608,,,99.58429,99.29864,99.62824,99.37587,99.55132,99.29671,99.5597,99.50271,,99.50552,,,,,
Armenia,ARM,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,99.80728,,,,,,,,,,99.8474,,,,,,99.84702,,,,,,
Aruba,ABW,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,99.02641,,,,,,,,,,99.13841,,,,,,,,99.5,,,,,
Australia,AUS,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.8861,,,,,,,,99.98915,,99.9513,99.9506,99.9441,99.93675,99.95247,99.95699,99.94278,99.94048,99.93805,,,,,,
"Bahamas, The",BHS,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,97.02471,,,,,,,,,95.45447,,,,,,99.48031,99.59822,99.6872,,,,,
Bangladesh,BGD,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,63.62273,,,,,,61.87281,,,,77.98499,77.83291,85.52715,85.55473,87.88877,92.24265,92.95076,93.29644,94.86243,,,,
Barbados,BRB,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,99.9,,,,,,,,,,99.9,,,,,,,,,
Belarus,BLR,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.79184,,,,,,,,,,99.82321,,,,,,,,,99.85,,,,,
Belgium,BEL,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,84.22305,,,,,,,,,,,,,,,,,,,,,,,
