"","Obs","Mean","Min","Max","SD","Within_SD","Between_SD"
"rgdpna",618,255928.0488,385.5477,9163052,1009964.2398,347511.9317,930695.1341
"rkna",618,0.7128,0.1647,1.3354,0.2465,0.2191,0.1208
"emp",618,22.2632,0.043,497.6157,80.0157,4.1733,78.2138
"cpi",584,8.6963,-8.9747,255.305,18.9552,15.831,13.1363
"trade_openness",544,65.2696,15.2817,347.9965,36.1897,13.2499,46.2374
"agr_share",593,20.1652,0.9956,60.6099,10.805,3.0191,10.7351
"edu",597,19.8019,0.78,78.32,18.5833,5.5369,17.7252
"case_incidence",618,19051.8755,4.2875,70979.3326,17372.325,5838.482,16637.8015
"results_weighted",618,0.0478,0,0.1114,0.0325,0,0.033
"olr_o",618,43.5197,24.275,57.2583,8.1692,8.1299,1.0892
"tfp",618,34468.8546,1972.9438,342866.491,54551.2844,7172.5512,57619.5344
