"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.345693722362","66.4017914176139","66.4099199283194","66.466663586663","66.6134088691744","66.6185599648677","66.5520817978045","66.542137161177","66.5482424244767","66.5864442822767","66.6535933264757","66.7387876480258","66.8370954245755","67.0306993427693","67.2066738469112","67.1103134503866","66.9797994169176","66.8449150266518","66.4453628605843","65.3698724658783","65.6100891845695","65.5223269214777","65.5845272073896","65.461243237784","65.492066050576","65.3985244286244","65.3826480495955","65.1686099985662","65.0242863386638","63.7401674189001","64.0302386728808","64.4562139143819",
"Afghanistan","AFG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.207","43.168","43.152","43.109","42.993","42.985","42.984","42.971","42.977","42.992","43.029","43.01","43.098","43.195","43.239","43.22","43.155","43.164","43.11","43.092","43.18","43.194","43.292","43.374","42.93","42.475","42.021","42.128","42.223","36.711","","",
"Africa Western and Central","AFW","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.2909364646477","63.1511407941744","63.0454164780858","62.9378953941142","62.8337157826387","62.744239937458","62.6389947501007","62.5356167237632","62.328824364587","62.2194669291914","62.2254129571683","62.2567028472253","62.2049081513751","62.1830408714917","62.1062973772677","62.1099499537943","62.046532838027","61.8363087121237","61.5936186830426","61.35439125456","61.2228958896536","59.8415128068586","58.6341308950998","58.4661736805712","58.436795114831","58.8156157676548","58.7890719101867","59.0145250008549","59.2406627284876","58.1669369957","58.3884062554439","58.9026899767171",
"Angola","AGO","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.936","73.95","73.916","74.012","74.06","74.088","74.088","74.089","74.082","74.08","74.111","74.156","74.137","74.172","74.198","74.238","74.291","74.327","74.339","69.974","71.629","71.097","70.503","69.92","69.902","69.888","69.906","69.883","69.874","68.545","68.558","69.025",
"Albania","ALB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.067","45.746","48.194","50.446","53.477","53.263","52.167","49.594","48.335","49.013","48.791","48.943","48.608","48.118","47.416","46.701","45.606","46.243","47.473","47.422","51.86","49.365","44.101","43.778","45.96","48.473","50.152","52.006","53.392","49.417","51.367","52.353",
"Andorra","AND","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.9883467352151","42.0384944049819","41.9152544829545","42.0314988895669","41.5925775629497","41.8724944349235","41.8960979512036","41.6734032258392","41.9582032055784","41.5027368040451","41.114843026117","40.5797750160665","40.771617753122","41.3696858226548","41.5884979949608","42.1073738833359","42.5518572168475","42.6612036574512","42.9379880462243","43.3348444170923","42.7889915131031","42.6797998467541","42.8603526565941","42.5446272343613","42.4464256950446","42.5563265860748","41.8415935202951","41.6950936953815","41.8175442710583","40.3591007555262","40.537012151696","41.0587299349059",
"United Arab Emirates","ARE","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.645","72.022","72.579","73.017","73.444","73.47","73.01","72.605","72.424","72.469","72.589","72.992","73.611","74.321","74.64","74.607","74.308","74.398","74.899","75.793","76.691","77.414","78.056","78.619","79.152","79.706","79.519","80.15","80.552","78.649","78.787","79.945",
"Argentina","ARG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.681","56.826","55.253","54.69","49.934","51.381","53.462","55.093","53.753","52.971","50.982","48.386","51.671","53.566","54.43","55.571","55.941","55.692","55.523","55.549","56.295","56.002","55.703","55.119","54.774","54.235","53.899","54.105","54.357","49.6","55.085","56.313",
